,customer_id,1,2,3,4,5,6,7,8,9,10,11,12,output
658,3915408,5,0,4,0,29,0,0,0,0,0,0,0,0
220,1963935,0,0,0,0,0,0,0,0,0,0,0,1,42
1875,9495847,0,0,0,0,0,0,0,0,0,0,0,0,0
923,5051287,0,0,0,7,150,0,1,9,14,0,0,5,2
1432,7426013,0,0,0,0,0,0,0,0,0,0,0,0,0
946,5158187,0,0,0,0,0,0,0,0,0,0,0,0,4
1491,7691366,5,0,0,5,7,0,0,21,0,8,0,2,0
966,5228277,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,9919438,0,0,0,0,0,0,0,0,0,0,9,0,0
1264,6610199,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,6206108,182,92,202,193,93,71,17,97,72,41,150,205,619
1491,7691366,1,0,0,12,13,3,9,30,5,0,0,5,7
756,4324459,0,0,0,0,0,0,0,0,0,0,0,0,0
377,2610766,78,33,17,3,0,0,1,6,0,0,0,0,9
1046,5550365,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,5729410,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,6317672,0,0,0,0,0,0,0,0,0,14,0,0,0
510,3225574,0,0,0,0,0,0,0,0,0,0,0,11,0
8,1030134,8,2,2,1,2,5,2,1,0,0,0,0,0
117,1505108,0,0,0,0,0,0,2,0,0,6,0,0,0
798,4481963,0,0,0,0,28,13,11,2,0,0,0,1,2
1219,6378715,0,0,0,0,0,0,0,0,0,0,0,0,4
984,5297526,0,0,0,0,6,0,0,0,0,0,0,0,0
1563,7984427,353,56,58,293,149,5,156,90,140,41,54,29,17
107,1450931,0,0,0,0,0,0,0,0,0,0,0,0,0
866,4775346,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,6462002,0,0,0,0,0,2,0,1,0,2,2,0,0
1294,6778677,0,0,0,0,0,15,2,1,0,0,0,0,0
1301,6826108,0,0,36,50,5,24,2,10,0,0,1,4,10
1359,7075083,0,0,0,0,0,0,0,0,0,0,0,0,0
379,2620533,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,7087209,0,0,0,0,0,0,0,0,0,0,0,0,0
940,5132823,79,136,35,74,143,48,63,23,9,36,4,13,33
453,2921319,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2521230,0,0,0,0,0,0,0,0,1,0,0,0,0
1214,6359310,0,0,0,0,0,0,0,0,0,0,0,0,0
615,3727665,0,0,0,1,2,0,1,0,0,0,0,6,0
1024,5473514,18,79,72,53,171,107,26,8,8,21,0,1,6
352,2526252,0,0,1,1,0,0,0,0,0,0,0,1,0
1849,9379772,0,0,0,3,0,0,0,0,0,0,1,0,0
623,3767648,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,9621397,0,0,0,0,0,0,0,0,0,0,0,0,0
1674,8538139,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1813043,0,0,0,0,0,0,0,8,4,0,44,7,29
